,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
239,Carex muricata,piggstarr,3,Carex muricata,,144299,99686,Carex muricata,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,piggstarr,piggstorr,,2722926
240,Carex nigra ssp. juncea,stolpestarr,2,Carex nigra juncea,,131405,145676,Carex nigra juncea,(Fr.) Soó,subspecies,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex Carex nigra,stolpestarr,stolpestorr,,8128391
241,Carex nigra ssp. nigra,slåttestarr,23,Carex nigra nigra,,144294,145675,Carex nigra nigra,,subspecies,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex Carex nigra,slåttestarr,slåttestorr,,7227152
242,Carex norvegica,fjellstarr,1,Carex norvegica,,59655,99695,Carex norvegica,Retz.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,fjellstarr,fjellstorr,,2724869
243,Carex ornithopoda,fuglestarr,2,Carex ornithopoda,,131416,99696,Carex ornithopoda,Willd.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,fuglestarr,fuglestorr,,2722950
244,Carex paleacea,havstarr,2,Carex paleacea,,131419,99698,Carex paleacea,Schreb. ex Wahlenb.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,havstarr,havstorr,,2727181
245,Carex pallescens,bleikstarr,2,Carex pallescens,,59660,99700,Carex pallescens,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,bleikstarr,bleikstorr,,2726592
246,Carex panicea,kornstarr,16,Carex panicea,,131423,99701,Carex panicea,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,kornstarr,kornstorr,,2724609
247,Carex paniculata,toppstarr,1,Carex paniculata,,59662,99702,Carex paniculata,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,toppstarr,toppstorr,,2723371
248,Carex pauciflora,sveltstarr,4,Carex pauciflora,,131428,99704,Carex pauciflora,Lightf.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,sveltstarr,sveltstorr,,2727907
249,Carex pilulifera,bråtestarr,14,Carex pilulifera,,131441,99709,Carex pilulifera,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,bråtestarr,bråtestorr,,2726614
250,Carex pseudocyperus,dronningstarr,1,Carex pseudocyperus,,59671,99711,Carex pseudocyperus,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,dronningstarr,dronningstorr,,2722760
251,Carex pulicaris,loppestarr,3,Carex pulicaris,,59672,99712,Carex pulicaris,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,loppestarr,loppestorr,,2726956
252,Carex rariflora,snipestarr,1,Carex rariflora,,131450,99714,Carex rariflora,(Wahlenb.) Sm.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,snipestarr,snipestorr,,2729473
253,Carex rhizina,mattestarr,1,Carex rhizina,,160602,143459,Carex rhizina,Blytt ex Lindblom,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,mattestarr,mattestorr,,2724253
254,Carex rhynchophysa,blærestarr,1,Carex rhynchophysa,,131453,99716,Carex rhynchophysa,C.A.Mey.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,blærestarr,blærestorr,,2725480
255,Carex riparia,kjempestarr,1,Carex riparia,,59677,99717,Carex riparia,Curtis,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,kjempestarr,kjempestorr,,2718117
256,Carex rostrata,flaskestarr,15,Carex rostrata,,145643,99718,Carex rostrata,Stokes,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,flaskestarr,flaskestorr,,2726725
257,Carex rufina,jøkelstarr,1,Carex rufina,,59680,99720,Carex rufina,Drejer,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,jøkelstarr,jøkulstorr,,2724361
258,Carex rupestris,bergstarr,6,Carex rupestris,,59681,99721,Carex rupestris,All.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,bergstarr,bergstorr,,2723767
259,Carex subspathacea,ishavsstarr,3,Carex subspathacea,,131497,99732,Carex subspathacea,Wormsk. ex Hornem.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,ishavsstarr,ishavsstorr,,2726445
260,Carex sylvatica,skogstarr,1,Carex sylvatica,,131501,99733,Carex sylvatica,Huds.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,skogstarr,skogstorr,,2722602
261,Carex vaginata,slirestarr,21,Carex vaginata,,59698,99738,Carex vaginata,Tausch,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,slirestarr,slirestorr,,2725816
262,Carex vesicaria,sennegras,4,Carex vesicaria,,59700,99740,Carex vesicaria,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex,sennegras,sennegras,,2722046
263,Carex viridula ssp. pulchella,musestarr,1,Carex viridula pulchella,,131518,143661,Carex viridula pulchella,(Lönnr.) Malyschev,subspecies,,,Plantae,Magnoliophyta,Monocots,Poales,Cyperaceae,Carex,,,,Plantae Magnoliophyta Monocots Poales Cyperaceae Carex Carex viridula,musestarr,musestorr,,
264,Carlina vulgaris,stjernetistel,1,Carlina vulgaris,,60434,100474,Carlina vulgaris,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Carlina,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Carlina,stjernetistel,stjernetistel,,3105380
265,Carum carvi,karve,4,Carum carvi,,60247,100287,Carum carvi,L.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Carum,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Carum,karve,karve,,3034714
266,Catabrosa aquatica,kildegras,1,Catabrosa aquatica,,131555,99965,Catabrosa aquatica,(L.) P.Beauv.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Catabrosa,,,,Plantae Magnoliophyta Monocots Poales Poaceae Catabrosa,kildegras,kjeldegras,,2705315
267,Catoscopium nigritum,svartknoppmose,1,Catoscopium nigritum,,64035,104075,Catoscopium nigritum,(Hedw.) Brid.,species,,,Plantae,Bryophyta,Bryopsida,Bryales,Catoscopiaceae,Catoscopium,,,,Plantae Bryophyta Bryopsida Bryales Catoscopiaceae Catoscopium,svartknoppmose,svartknoppmose,,2676491
268,Centaurea jacea,engknoppurt,3,Centaurea jacea,,131572,100488,Centaurea jacea,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Centaurea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Centaurea,engknoppurt,engknoppurt,,3128547
269,Centaurea scabiosa,fagerknoppurt,2,Centaurea scabiosa,,131584,100499,Centaurea scabiosa,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Centaurea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Centaurea,fagerknoppurt,fagerknoppurt,,3127963
270,Centaurium littorale,tusengylden,2,Centaurium littorale,,131598,102173,Centaurium littorale,(Turner ex Sm.) Gilmour,species,,,Plantae,Magnoliophyta,Eudicots,Gentianales,Gentianaceae,Centaurium,,,,Plantae Magnoliophyta Eudicots Gentianales Gentianaceae Centaurium,tusengylden,tusengylden,,5414469
271,Centaurium pulchellum,dverggylden,1,Centaurium pulchellum,,131601,102174,Centaurium pulchellum,(Sw.) Druce,species,,,Plantae,Magnoliophyta,Eudicots,Gentianales,Gentianaceae,Centaurium,,,,Plantae Magnoliophyta Eudicots Gentianales Gentianaceae Centaurium,dverggylden,dverggylden,,5414471
272,Cephalozia ambigua,snøglefsemose,4,Cephalozia ambigua,,65068,105108,Cephalozia ambigua,C.Massal.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Cephaloziaceae,Cephalozia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Cephaloziaceae Cephalozia,snøglefsemose,snøglefsemose,,4276645
273,Cerastium alpinum,fjellarve,18,Cerastium alpinum,,61417,101457,Cerastium alpinum,L.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,fjellarve,fjellarve,,3085450
274,Cerastium arcticum,tundraarve,3,Cerastium arcticum,,144143,101461,Cerastium arcticum,Lange,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,tundraarve,tundraarve,,3085444
275,Cerastium cerastoides,brearve,23,Cerastium cerastoides,,131652,101466,Cerastium cerastoides,(L.) Britton,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,brearve,brearve,,6364299
276,Cerastium fontanum,arve,23,Cerastium fontanum,,61429,101469,Cerastium fontanum,Baumg.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,arve,arve,,3085458
277,Cerastium nigrescens,snøarve,2,Cerastium nigrescens,,131676,101475,Cerastium nigrescens,(H.C.Watson) Edmondston ex H.C.Watson,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,snøarve,snøarve,,3085456
278,Cerastium regelii,polararve,3,Cerastium regelii,,61437,101477,Cerastium regelii,Ostenf.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,,,,3085480
279,Cerastium semidecandrum,vårarve,3,Cerastium semidecandrum,,61438,101478,Cerastium semidecandrum,L.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Cerastium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Cerastium,vårarve,vårarve,,3085434
280,Ceratodon purpureus,ugrasvegmose,4,Ceratodon purpureus,,64156,104196,Ceratodon purpureus,(Hedw.) Brid.,species,,,Plantae,Bryophyta,Bryopsida,Dicranales,Ditrichaceae,Ceratodon,,,,Plantae Bryophyta Bryopsida Dicranales Ditrichaceae Ceratodon,ugrasvegmose,ugrasvegmose,,5281381
281,Cetraria aculeata,groptagg,5,Cetraria aculeata,,47567,71594,Cetraria aculeata,(Schreb.) Fr.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Cetraria,groptagg,,,2605275
282,Cetraria ericetorum,smal islandslav,9,Cetraria ericetorum,,47575,71602,Cetraria ericetorum,Opiz,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Cetraria,smal islandslav,,,2605262
283,Cetraria islandica,islandslav,41,Cetraria islandica,,47577,71604,Cetraria islandica,(L.) Ach.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetraria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Cetraria,islandslav,,,2605272
284,Cetraria spp.,brunskjerpe,3,Cetraria,,47566,71593,Cetraria,,genus,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae,,,,2601309
285,Cetrariella delisei,snøskjerpe,10,Cetrariella delisei,,47609,71636,Cetrariella delisei,(Schaer.) Kärnefelt & A.Thell,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetrariella,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Cetrariella,snøskjerpe,,,2605703
286,Cetrelia olivetorum,praktlav,3,Cetrelia olivetorum,,141560,71650,Cetrelia olivetorum,(Nyl.) W. Culb. & C.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Cetrelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Cetrelia,trollpraktlav,,,2605872
287,Chaenotheca furfuracea,gullnål,4,Chaenotheca furfuracea,,104575,76322,Chaenotheca furfuracea,(L.) Tibell,species,,,Fungi,Ascomycota,Sordariomycetes,Incertae sedis,Coniocybaceae,Chaenotheca,,,,Fungi Ascomycota Pezizomycotina Sordariomycetes Incertae sedis Coniocybaceae Chaenotheca,gullnål,,,5261526
288,Chaenotheca gracilenta,hvithodenål,1,Chaenotheca gracilenta,,52296,76323,Chaenotheca gracilenta,(Ach.) J. Mattson & Middelb.,species,,,Fungi,Ascomycota,Sordariomycetes,Incertae sedis,Coniocybaceae,Chaenotheca,,,,Fungi Ascomycota Pezizomycotina Sordariomycetes Incertae sedis Coniocybaceae Chaenotheca,hvithodenål,,,5470072
289,Chamaepericlymenum suecicum,skrubbær,14,Chamaepericlymenum suecicum,,131740,101666,Chamaepericlymenum suecicum,(L.) Graebn.,species,,,Plantae,Magnoliophyta,Eudicots,Cornales,Cornaceae,Chamaepericlymenum,,,,Plantae Magnoliophyta Eudicots Cornales Cornaceae Chamaepericlymenum,skrubbær,skrubbær,,5383726
290,Chamerion angustifolium,geitrams,14,Chamerion angustifolium,,131752,102822,Chamerion angustifolium,(L.) Holub,species,,,Plantae,Magnoliophyta,Eudicots,Myrtales,Onagraceae,Chamerion,,,,Plantae Magnoliophyta Eudicots Myrtales Onagraceae Chamerion,geitrams,geitrams,,
291,Chamorchis alpina,fjellkurle,1,Chamorchis alpina,,131773,99487,Chamorchis alpina,(L.) Rich.,species,,,Plantae,Magnoliophyta,Monocots,Asparagales,Orchidaceae,Chamorchis,,,,Plantae Magnoliophyta Monocots Asparagales Orchidaceae Chamorchis,fjellkurle,fjellkurle,,2791364
292,Chara canescens,hårkrans,1,Chara canescens,,65827,105970,Chara canescens,Desvaux & Loiseleur,species,,,Plantae,Charophyta,Charophyceae,Charales,Characeae,Chara,,,,Plantae Charophyta Charophyceae Charales Characeae Chara,hårkrans,hårkrans,,5270837
293,Chenopodium album,meldestokk,5,Chenopodium album,,145474,101389,Chenopodium album,L.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Amaranthaceae,Chenopodium,,,,Plantae Magnoliophyta Eudicots Caryophyllales Amaranthaceae Chenopodium,meldestokk,meldestokk,,3083838
294,Chiloscyphus pallescens,bleikblonde,2,Chiloscyphus pallescens,,65121,105161,Chiloscyphus pallescens,(Ehrh. ex Hoffm.) Dumort.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Geocalycaceae,Chiloscyphus,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Geocalycaceae Chiloscyphus,bleikblonde,bleikblonde,,2689488
295,Chrysosplenium alternifolium,maigull,3,Chrysosplenium alternifolium,,63592,103632,Chrysosplenium alternifolium,L.,species,,,Plantae,Magnoliophyta,Eudicots,Saxifragales,Saxifragaceae,Chrysosplenium,,,,Plantae Magnoliophyta Eudicots Saxifragales Saxifragaceae Chrysosplenium,maigull,maigull,,7339315
296,Chrysothrix chlorina,klippepulverlav,5,Chrysothrix chlorina,,41695,65722,Chrysothrix chlorina,(Ach.) Laundon,species,,,Fungi,Ascomycota,Arthoniomycetes,Arthoniales,Chrysothricaceae,Chrysothrix,,,,Fungi Ascomycota Pezizomycotina Arthoniomycetes Arthoniales Chrysothricaceae Chrysothrix,klippepulverlav,,,5258341
297,Cicerbita alpina,turt,7,Cicerbita alpina,,131813,100504,Cicerbita alpina,(L.) Wallr.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cicerbita,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cicerbita,turt,turt,,3087634
298,Cicuta virosa,selsnepe,1,Cicuta virosa,,131824,100297,Cicuta virosa,L.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Cicuta,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Cicuta,selsnepe,selsnepe,,5371864
299,Cinclidium latifolium,fagergittermose,2,Cinclidium latifolium,,64039,104079,Cinclidium latifolium,Lindb.,species,,,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Cinclidium,,,,Plantae Bryophyta Bryopsida Bryales Mniaceae Cinclidium,fagergittermose,fagergittermose,,5282708
300,Cinclidium stygium,myrgittermose,4,Cinclidium stygium,,64040,104080,Cinclidium stygium,Sw.,species,,,Plantae,Bryophyta,Bryopsida,Bryales,Mniaceae,Cinclidium,,,,Plantae Bryophyta Bryopsida Bryales Mniaceae Cinclidium,myrgittermose,myrgittermose,,5282711
301,Cirriphyllum piliferum,lundveikmose,7,Cirriphyllum piliferum,,64518,104558,Cirriphyllum piliferum,(Hedw.) Grout,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Cirriphyllum,,,,Plantae Bryophyta Bryopsida Hypnales Brachytheciaceae Cirriphyllum,lundveikmose,lundveikmose,,2679761
302,Cirsium arvense,åkertistel,5,Cirsium arvense,,131842,100513,Cirsium arvense,(L.) Scop.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,åkertistel,åkertistel,,3113414
303,Cirsium heterophyllum,hvitbladtistel,19,Cirsium heterophyllum,,131846,100515,Cirsium heterophyllum,(L.) Hill,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,hvitbladtistel,kvitbladtistel,,3113745
304,Cirsium oleraceum,kåltistel,1,Cirsium oleraceum,,131847,100516,Cirsium oleraceum,(L.) Scop.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,kåltistel,kåltistel,,3113650
305,Cirsium palustre,myrtistel,4,Cirsium palustre,,60477,100517,Cirsium palustre,(L.) Scop.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Cirsium,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Cirsium,myrtistel,myrtistel,,3113239
306,Cladonia amaurocraea,begerpigglav,3,Cladonia amaurocraea,,45000,69027,Cladonia amaurocraea,(Flörke) Schaerer,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,begerpigglav,,,7246667
307,Cladonia arbuscula,lys reinlav,36,Cladonia arbuscula,,45006,69033,Cladonia arbuscula,(Wallr.) Flot.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,lys reinlav,,,2607648
308,Cladonia bellidiflora,blomsterlav,6,Cladonia bellidiflora,,45017,69044,Cladonia bellidiflora,(Ach.) Schaerer,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,blomsterlav,,,2607724
309,Cladonia coccifera agg.,grynrødbeger,5,Cladonia coccifera,,105441,69075,Cladonia coccifera,(L.) Willd.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,grynrødbeger,,,7246653
310,Cladonia crispata,traktlav,3,Cladonia crispata,,45061,69088,Cladonia crispata,(Ach.) Flotow,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,traktlav,,,6606832
311,Cladonia deformis,begerfausklav,1,Cladonia deformis,,45069,69096,Cladonia deformis,(L.) Hoffm.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,begerfausklav,,,2607667
312,Cladonia ecmocyna,snøsyl,4,Cladonia ecmocyna,,45081,69108,Cladonia ecmocyna,Leighton,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,snøsyl,,,2607643
313,Cladonia foliacea,flikskjell,1,Cladonia foliacea,,45093,69120,Cladonia foliacea,(Hudson) Willd.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,flikskjell,,,2607590
314,Cladonia furcata,gaffellav,2,Cladonia furcata,,45096,69123,Cladonia furcata,(Hudson) Schrader,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,gaffellav,,,7246646
315,Cladonia gracilis,syllav,8,Cladonia gracilis,,104582,69131,Cladonia gracilis,(L.) Willd.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,syllav,,,2607596
316,Cladonia macrophylla,trevlelav,1,Cladonia macrophylla,,45148,69175,Cladonia macrophylla,(Schaerer) Stenham.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,trevlelav,,,2607629
317,Cladonia phyllophora,svartfotlav,1,Cladonia phyllophora,,45201,69228,Cladonia phyllophora,Hoffm.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,svartfotlav,,,2607575
318,Cladonia portentosa,kystreinlav,1,Cladonia portentosa,,45213,69240,Cladonia portentosa,(Dufour) Coem.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kystreinlav,,,3390030
319,Cladonia pyxidata,kornbrunbeger,3,Cladonia pyxidata,,45232,69259,Cladonia pyxidata,(L.) Hoffm.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kornbrunbeger,,,2607695
320,Cladonia rangiferina,grå reinlav,28,Cladonia rangiferina,,161849,69261,Cladonia rangiferina,(L.) F. H. Wigg.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,grå reinlav,,,2607708
321,Cladonia rangiformis,tuegaffel,2,Cladonia rangiformis,,45238,69265,Cladonia rangiformis,Hoffm.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,tuegaffel,,,7246697
322,Cladonia spp.,begerlav,19,Cladonia,,44990,69017,Cladonia,,genus,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae,begerlavslekta,begerlavslekta,,2607519
323,Cladonia squamosa,fnaslav,4,Cladonia squamosa,,105495,69294,Cladonia squamosa,Hoffm.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,fnaslav,,,7246650
324,Cladonia stellaris,kvitkrull,17,Cladonia stellaris,,145124,69297,Cladonia stellaris,(Opiz) Pouzar & Vezda,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kvitkrull,,,2607712
325,Cladonia strepsilis,polsterlav,1,Cladonia strepsilis,,45274,69301,Cladonia strepsilis,(Ach.) Grognot,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,polsterlav,,,7246887
326,Cladonia subcervicornis,kystpute,2,Cladonia subcervicornis,,45279,69306,Cladonia subcervicornis,(Vainio) Kernst.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Cladoniaceae,Cladonia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Cladoniaceae Cladonia,kystpute,,,2607644
