,Unnamed: 0,Latinsk_navn,Norsk_navn,Total,Input,Unnamed: 4,taxonID,scientificNameID,scientificName,scientificNameAuthorship,taxonRank,acceptedNameUsageID,acceptedNameUsage,kingdom,phylum,class,order,family,genus,subgenus,specificEpithet,infraspecificEpithet,higherClassification,vernacularName (nb),vernacularName (nn),dynamicProperty,gbif_taxon_id
0,0,Abietinella abietina,granmose,17,Abietinella abietina,,64749,104789,Abietinella abietina,(Hedw.) M.Fleisch.,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Thuidiaceae,Abietinella,,,,Plantae Bryophyta Bryopsida Hypnales Thuidiaceae Abietinella,granmose,granmose,,5283402.0
1,1,Acarospora sinopica,rustsprekklav,1,Acarospora sinopica,,41236,65263,Acarospora sinopica,(Wahlenb.) Körber,species,,,Fungi,Ascomycota,Lecanoromycetes,Acarosporales,Acarosporaceae,Acarospora,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Acarosporales Acarosporaceae Acarospora,rustsprekklav,,,2600524.0
2,2,Acaulon muticum,vortesvøpmose,1,Acaulon muticum,,64842,104882,Acaulon muticum,(Hedw.) Müll.Hal.,species,,,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Acaulon,,,,Plantae Bryophyta Bryopsida Pottiales Pottiaceae Acaulon,vortesvøpmose,vortesveipmose,,5280933.0
3,3,Acer platanoides,spisslønn,1,Acer platanoides,,63519,103559,Acer platanoides,L.,species,,,Plantae,Magnoliophyta,Eudicots,Sapindales,Sapindaceae,Acer,,,,Plantae Magnoliophyta Eudicots Sapindales Sapindaceae Acer,spisslønn,spisslønn,,3189846.0
4,4,Achillea millefolium,ryllik,20,Achillea millefolium,,145524,100392,Achillea millefolium,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Achillea,ryllik,ryllik,,3120060.0
5,5,Achillea ptarmica,nyseryllik,5,Achillea ptarmica,,129993,100396,Achillea ptarmica,L.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Achillea,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Achillea,nyseryllik,nyseryllik,,3120333.0
6,6,Acinos arvensis,bakkemynte,9,Acinos arvensis,,130008,102267,Acinos arvensis,(Lam.) Dandy,species,,,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Acinos,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Acinos,bakkemynte,bakkemynte,,2927116.0
7,7,Aconitum septentrionale,tyrihjelm,7,Aconitum septentrionale,,160600,143437,Aconitum septentrionale,Koelle,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Aconitum,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Aconitum,tyrihjelm,tyrihjelm,,6374443.0
8,8,Actaea spicata,trollbær,1,Actaea spicata,,63041,103081,Actaea spicata,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Actaea,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Actaea,trollbær,trollbær,,5371473.0
9,9,Aegopodium podagraria,skvallerkål,3,Aegopodium podagraria,,60212,100252,Aegopodium podagraria,L.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Aegopodium,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Aegopodium,skvallerkål,skvallerkål,,3034620.0
10,10,Agrimonia eupatoria,åkermåne,2,Agrimonia eupatoria,,63177,103217,Agrimonia eupatoria,L.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Agrimonia,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Agrimonia,åkermåne,åkermåne,,3001956.0
11,11,Agrostis canina,hundekvein,6,Agrostis canina,,130089,99866,Agrostis canina,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,hundekvein,hundekvein,,2706465.0
12,12,Agrostis capillaris,engkvein,38,Agrostis capillaris,,130092,99867,Agrostis capillaris,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,engkvein,engkvein,,2706490.0
13,13,Agrostis mertensii,fjellkvein,4,Agrostis mertensii,,130111,99869,Agrostis mertensii,Trin.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,fjellkvein,fjellkvein,,2706518.0
14,14,Agrostis stolonifera,krypkvein,11,Agrostis stolonifera,,144917,99871,Agrostis stolonifera,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,krypkvein,krypkvein,,2706435.0
15,15,Agrostis vinealis,bergkvein,1,Agrostis vinealis,,130129,99874,Agrostis vinealis,Schreb.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Agrostis,,,,Plantae Magnoliophyta Monocots Poales Poaceae Agrostis,bergkvein,bergkvein,,2706458.0
16,16,Aira praecox,dvergsmyle,2,Aira praecox,,130135,99877,Aira praecox,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Aira,,,,Plantae Magnoliophyta Monocots Poales Poaceae Aira,dvergsmyle,dvergsmyle,,5289582.0
17,17,Ajuga pyramidalis,jonsokkoll,2,Ajuga pyramidalis,,62233,102273,Ajuga pyramidalis,L.,species,,,Plantae,Magnoliophyta,Eudicots,Lamiales,Lamiaceae,Ajuga,,,,Plantae Magnoliophyta Eudicots Lamiales Lamiaceae Ajuga,jonsokkoll,jonsokkoll,,8429926.0
18,18,Alchemilla alpina,fjellmarikåpe,15,Alchemilla alpina,,63181,103221,Alchemilla alpina,L.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,fjellmarikåpe,fjellmarikåpe,,3027648.0
19,19,Alchemilla filicaulis,grannmarikåpe,1,Alchemilla filicaulis,,130152,103225,Alchemilla filicaulis,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,grannmarikåpe,grannmarikåpe,,3027485.0
20,20,Alchemilla glabra,glattmarikåpe,16,Alchemilla glabra,,130155,103228,Alchemilla glabra,Neygenf.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,glattmarikåpe,glattmarikåpe,,3027640.0
21,21,Alchemilla glaucescens,fløyelsmarikåpe,4,Alchemilla glaucescens,,130159,103229,Alchemilla glaucescens,Wallr.,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,fløyelsmarikåpe,fløyelsmarikåpe,,3027452.0
22,22,Alchemilla glomerulans,kildemarikåpe,11,Alchemilla glomerulans,,130160,103230,Alchemilla glomerulans,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,kildemarikåpe,kjeldemarikåpe,,3028402.0
23,23,Alchemilla micans,glansmarikåpe,3,Alchemilla micans,,130164,103232,Alchemilla micans,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,glansmarikåpe,glansmarikåpe,,3027791.0
24,24,Alchemilla monticola,beitemarikåpe,1,Alchemilla monticola,,130167,103234,Alchemilla monticola,Opiz,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,beitemarikåpe,beitemarikåpe,,3028763.0
25,25,Alchemilla spp.,marikåper,1,Alchemilla,,63179,103219,Alchemilla,L.,genus,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae,marikåpeslekta,marikåpeslekta,,3027437.0
26,26,Alchemilla subcrenata,engmarikåpe,4,Alchemilla subcrenata,,130172,103244,Alchemilla subcrenata,Buser,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,engmarikåpe,engmarikåpe,,3028176.0
27,27,Alchemilla wichurae,skarmarikåpe,6,Alchemilla wichurae,,130180,103247,Alchemilla wichurae,(Buser) Stefansson,species,,,Plantae,Magnoliophyta,Eudicots,Rosales,Rosaceae,Alchemilla,,,,Plantae Magnoliophyta Eudicots Rosales Rosaceae Alchemilla,skarmarikåpe,skarmarikåpe,,3027538.0
28,28,Alectoria nigricans,jervskjegg,5,Alectoria nigricans,,47429,71456,Alectoria nigricans,(Ach.) Nyl.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Alectoria,jervskjegg,,,5261197.0
29,29,Alectoria ochroleuca,rabbeskjegg,5,Alectoria ochroleuca,,47430,71457,Alectoria ochroleuca,(Hoffm.) Massal.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Alectoria,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Alectoria,rabbeskjegg,,,5261195.0
30,30,Alisma plantago-aquatica,vassgro,2,Alisma plantago-aquatica,,141921,99303,Alisma plantago-aquatica,L.,species,,,Plantae,Magnoliophyta,Monocots,Alismatales,Alismataceae,Alisma,,,,Plantae Magnoliophyta Monocots Alismatales Alismataceae Alisma,vassgro,vassgro,,2865100.0
31,31,Allantoparmelia alpicola,fjelltopplav,1,Allantoparmelia alpicola,,47435,71462,Allantoparmelia alpicola,(Th. Fr.) Essl.,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Allantoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Allantoparmelia,fjelltopplav,,,2605065.0
32,32,Alliaria petiolata,løkurt,2,Alliaria petiolata,,130196,101071,Alliaria petiolata,(M.Bieb.) Cavara & Grande,species,,,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Alliaria,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Alliaria,løkurt,laukurt,,5376075.0
33,33,Allium oleraceum,vill-løk,4,Allium oleraceum,,59369,99409,Allium oleraceum,L.,species,,,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,vill-løk,vill-lauk,,2857071.0
34,34,Allium vineale,strandløk,2,Allium vineale,,130210,99421,Allium vineale,L.,species,,,Plantae,Magnoliophyta,Monocots,Asparagales,Amaryllidaceae,Allium,,,,Plantae Magnoliophyta Monocots Asparagales Amaryllidaceae Allium,strandløk,strandlauk,,2856958.0
35,35,Alnus glutinosa,svartor,6,Alnus glutinosa,,130216,102131,Alnus glutinosa,(L.) Gaertn.,species,,,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Alnus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Alnus,svartor,svartor,,2876213.0
36,36,Alnus incana,gråor,11,Alnus incana,,144012,102132,Alnus incana,(L.) Moench,species,,,Plantae,Magnoliophyta,Eudicots,Fagales,Betulaceae,Alnus,,,,Plantae Magnoliophyta Eudicots Fagales Betulaceae Alnus,gråor,gråor,,2876388.0
37,37,Alopecurus aequalis,vassreverumpe,2,Alopecurus aequalis,,144925,99879,Alopecurus aequalis,Sobol.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,vassreverumpe,vassreverumpe,,5290083.0
38,38,Alopecurus arundinaceus,strandreverumpe,1,Alopecurus arundinaceus,,130254,99880,Alopecurus arundinaceus,Poir.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,strandreverumpe,strandreverumpe,,5290087.0
39,39,Alopecurus geniculatus,knereverumpe,2,Alopecurus geniculatus,,59842,99882,Alopecurus geniculatus,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,knereverumpe,knereverumpe,,5290090.0
40,40,Alopecurus ovatus,polarreverumpe,3,Alopecurus ovatus,,144931,143444,Alopecurus ovatus,Knapp,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus,polarreverumpe,polarreverumpe,,8428006.0
41,41,Alopecurus pratensis ssp. pratensis,engreverumpe,3,Alopecurus pratensis pratensis,,59846,99886,Alopecurus pratensis pratensis,,subspecies,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Alopecurus,,,,Plantae Magnoliophyta Monocots Poales Poaceae Alopecurus Alopecurus pratensis,engreverumpe,engreverumpe,,7226847.0
42,42,Ammophila arenaria,marehalm,1,Ammophila arenaria,,130292,99888,Ammophila arenaria,(L.) Link,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Ammophila,,,,Plantae Magnoliophyta Monocots Poales Poaceae Ammophila,marehalm,marehalm,,5289845.0
43,43,Amphidium mougeotii,bergpolstermose,2,Amphidium mougeotii,,64216,104256,Amphidium mougeotii,(Schimp.) Schimp.,species,,,Plantae,Bryophyta,Bryopsida,Dicranales,Rhabdoweisiaceae,Amphidium,,,,Plantae Bryophyta Bryopsida Dicranales Rhabdoweisiaceae Amphidium,bergpolstermose,bergpolstermose,,2672780.0
44,44,Anaptychia runcinata,svaberglav,2,Anaptychia runcinata,,49339,73366,Anaptychia runcinata,(With.) J. R. Laundon,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Physciaceae,Anaptychia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Physciaceae Anaptychia,svaberglav,,,2608995.0
45,45,Anastrepta orcadensis,heimose,4,Anastrepta orcadensis,,65223,105263,Anastrepta orcadensis,(Hook.) Schiffn.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Anastrophyllaceae,Anastrepta,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Anastrophyllaceae Anastrepta,heimose,heimose,,2689205.0
46,46,Andreaea nivalis,snøsotmose,3,Andreaea nivalis,,63950,103990,Andreaea nivalis,Hook.,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,snøsotmose,snøsotmose,,5283946.0
47,47,Andreaea obovata,felesotmose,3,Andreaea obovata,,63951,103991,Andreaea obovata,Thed.,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,felesotmose,felesotmose,,5283918.0
48,48,Andreaea rothii,nervesotmose,1,Andreaea rothii,,63952,103992,Andreaea rothii,F.Weber & D.Mohr,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,nervesotmose,nervesotmose,,5283980.0
49,49,Andreaea rupestris,bergsotmose,2,Andreaea rupestris,,63955,103995,Andreaea rupestris,Hedw.,species,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,Andreaea,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae Andreaea,bergsotmose,bergsotmose,,5283962.0
50,50,Andreaea spp.,sotmoser,3,Andreaea,,63943,103983,Andreaea,,genus,,,Plantae,Bryophyta,Andreaeopsida,Andreaeales,Andreaeaceae,,,,,Plantae Bryophyta Andreaeopsida Andreaeales Andreaeaceae,sotmoseslekta,sotmoseslekta,,2673379.0
51,51,Andromeda polifolia,hvitlyng,9,Andromeda polifolia,,130305,101769,Andromeda polifolia,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Andromeda,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Andromeda,hvitlyng,kvitlyng,,5333413.0
52,52,Androsace septentrionalis,smånøkkel,3,Androsace septentrionalis,,130316,101869,Androsace septentrionalis,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ericales,Primulaceae,Androsace,,,,Plantae Magnoliophyta Eudicots Ericales Primulaceae Androsace,smånøkkel,smånøkkel,,3169326.0
53,53,Anemone nemorosa,hvitveis,18,Anemone nemorosa,,130330,103087,Anemone nemorosa,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Anemone,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Anemone,hvitveis,kvitsymre,,3033263.0
54,54,Anemone ranunculoides,gulveis,1,Anemone ranunculoides,,130331,103088,Anemone ranunculoides,L.,species,,,Plantae,Magnoliophyta,Eudicots,Ranunculales,Ranunculaceae,Anemone,,,,Plantae Magnoliophyta Eudicots Ranunculales Ranunculaceae Anemone,gulveis,gulsymre,,3033266.0
55,55,Aneura pinguis,fettmose,8,Aneura pinguis,,65440,105480,Aneura pinguis,(L.) Dumort.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Aneuraceae,Aneura,,,,Plantae Marchantiophyta Jungermanniopsida Metzgeriales Aneuraceae Aneura,fettmose,feittmose,,5286381.0
56,56,Angelica archangelica ssp. archangelica,fjellkvann,5,Angelica archangelica archangelica,,130352,100266,Angelica archangelica archangelica,,subspecies,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica Angelica archangelica,fjellkvann,fjellkvann,,7065260.0
57,57,Angelica archangelica ssp. litoralis,strandkvann,2,Angelica archangelica litoralis,,130358,100267,Angelica archangelica litoralis,(Wahlenb.) Thell.,subspecies,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica Angelica archangelica,strandkvann,strandkvann,,5371809.0
58,58,Angelica sylvestris,sløke,18,Angelica sylvestris,,130365,100268,Angelica sylvestris,L.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Angelica,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Angelica,sløke,sløkje,,5371818.0
59,59,Anomodon attenuatus,piskraggmose,2,Anomodon attenuatus,,64491,104531,Anomodon attenuatus,(Hedw.) Huebener,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,piskraggmose,piskraggmose,,5283419.0
60,60,Anomodon longifolius,tepperaggmose,1,Anomodon longifolius,,64492,104532,Anomodon longifolius,(Schleich. ex Brid.) C.Hartm.,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,tepperaggmose,tepperaggmose,,5283424.0
61,61,Anomodon viticulosus,kalkraggmose,3,Anomodon viticulosus,,64494,104534,Anomodon viticulosus,(Hedw.) Hook. & Taylor,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Anomodontaceae,Anomodon,,,,Plantae Bryophyta Bryopsida Hypnales Anomodontaceae Anomodon,kalkraggmose,kalkraggmose,,5283423.0
62,62,Antennaria alpina,fjellkattefot,4,Antennaria alpina,,143793,100408,Antennaria alpina,(L.) Gaertn.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Antennaria,fjellkattefot,fjellkattefot,,5385561.0
63,63,Antennaria dioica,kattefot,23,Antennaria dioica,,130402,100411,Antennaria dioica,(L.) Gaertn.,species,,,Plantae,Magnoliophyta,Eudicots,Asterales,Asteraceae,Antennaria,,,,Plantae Magnoliophyta Eudicots Asterales Asteraceae Antennaria,kattefot,kattefot,,5385604.0
64,64,Anthelia julacea,ranksnømose,6,Anthelia julacea,,65050,105090,Anthelia julacea,(L.) Dumort.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Antheliaceae,Anthelia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Antheliaceae Anthelia,ranksnømose,ranksnømose,,5286360.0
65,65,Anthelia juratzkana,krypsnømose,15,Anthelia juratzkana,,65051,105091,Anthelia juratzkana,(Limpr.) Trevis.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Jungermanniales,Antheliaceae,Anthelia,,,,Plantae Marchantiophyta Jungermanniopsida Jungermanniales Antheliaceae Anthelia,krypsnømose,krypsnømose,,5710214.0
66,66,Anthoceros agrestis,svartnål,1,Anthoceros agrestis,,63939,103979,Anthoceros agrestis,Paton,species,,,Plantae,Anthocerotophyta,Anthocerotopsida,Anthocerotales,Anthocerotaceae,Anthoceros,,,,Plantae Anthocerotophyta Anthocerotopsida Anthocerotales Anthocerotaceae Anthoceros,svartnål,svartnål,,2689592.0
67,67,Anthoxanthum nipponicum,fjellgulaks,15,Anthoxanthum nipponicum,,130454,99896,Anthoxanthum nipponicum,Honda,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Anthoxanthum,,,,Plantae Magnoliophyta Monocots Poales Poaceae Anthoxanthum,fjellgulaks,fjellgulaks,,4133640.0
68,68,Anthoxanthum odoratum,gulaks,34,Anthoxanthum odoratum,,145636,99897,Anthoxanthum odoratum,L.,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Anthoxanthum,,,,Plantae Magnoliophyta Monocots Poales Poaceae Anthoxanthum,gulaks,gulaks,,2705975.0
69,69,Anthriscus sylvestris,hundekjeks,14,Anthriscus sylvestris,,145514,100272,Anthriscus sylvestris,(L.) Hoffm.,species,,,Plantae,Magnoliophyta,Eudicots,Apiales,Apiaceae,Anthriscus,,,,Plantae Magnoliophyta Eudicots Apiales Apiaceae Anthriscus,hundekjeks,hundekjeks,,5371742.0
70,70,Anthyllis vulneraria,rundbelg,14,Anthyllis vulneraria,,61851,101891,Anthyllis vulneraria,L.,species,,,Plantae,Magnoliophyta,Eudicots,Fabales,Fabaceae,Anthyllis,,,,Plantae Magnoliophyta Eudicots Fabales Fabaceae Anthyllis,rundbelg,rundskolm,,5352367.0
71,71,Antitrichia curtipendula,ryemose,1,Antitrichia curtipendula,,64674,104714,Antitrichia curtipendula,(Hedw.) Brid.,species,,,Plantae,Bryophyta,Bryopsida,Hypnales,Leucodontaceae,Antitrichia,,,,Plantae Bryophyta Bryopsida Hypnales Leucodontaceae Antitrichia,ryemose,ryemose,,2678391.0
72,72,Aplodon wormskioldii,kadavermose,1,Aplodon wormskioldii,,65008,105048,Aplodon wormskioldii,(Hornem.) R.Br.,species,,,Plantae,Bryophyta,Bryopsida,Splachnales,Splachnaceae,Aplodon,,,,Plantae Bryophyta Bryopsida Splachnales Splachnaceae Aplodon,kadavermose,kadavermose,,5281515.0
73,73,Apometzgeria pubescens,skjerfmose,3,Apometzgeria pubescens,,65451,105491,Apometzgeria pubescens,(Schrank) Kuwah.,species,,,Plantae,Marchantiophyta,Jungermanniopsida,Metzgeriales,Metzgeriaceae,Apometzgeria,,,,Plantae Marchantiophyta Jungermanniopsida Metzgeriales Metzgeriaceae Apometzgeria,skjerfmose,skjerfmose,,2689514.0
74,74,Arabidopsis petraea,aurskrinneblom,2,Arabidopsis petraea,,160539,101079,Arabidopsis petraea,(L.) Dorof.,species,,,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabidopsis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabidopsis,aurskrinneblom,aurskrinneblom,,8068424.0
75,75,Arabidopsis thaliana,vårskrinneblom,5,Arabidopsis thaliana,,130542,101081,Arabidopsis thaliana,(L.) Heynh.,species,,,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabidopsis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabidopsis,vårskrinneblom,vårskrinneblom,,3052436.0
76,76,Arabis alpina,fjellskrinneblom,7,Arabis alpina,,61043,101083,Arabis alpina,L.,species,,,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabis,fjellskrinneblom,fjellskrinneblom,,5375020.0
77,77,Arabis hirsuta,bergskrinneblom,8,Arabis hirsuta,,130549,101088,Arabis hirsuta,(L.) Scop.,species,,,Plantae,Magnoliophyta,Eudicots,Brassicales,Brassicaceae,Arabis,,,,Plantae Magnoliophyta Eudicots Brassicales Brassicaceae Arabis,bergskrinneblom,bergskrinneblom,,5374858.0
78,78,Arctoparmelia centrifuga,stor gulkrinslav,3,Arctoparmelia centrifuga,,47450,71477,Arctoparmelia centrifuga,(L.) Hale,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Arctoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Arctoparmelia,stor gulkrinslav,,,2605301.0
79,79,Arctoparmelia incurva,liten gulkrinslav,2,Arctoparmelia incurva,,47451,71478,Arctoparmelia incurva,(Pers.) Hale,species,,,Fungi,Ascomycota,Lecanoromycetes,Lecanorales,Parmeliaceae,Arctoparmelia,,,,Fungi Ascomycota Pezizomycotina Lecanoromycetes Lecanorales Parmeliaceae Arctoparmelia,liten gulkrinslav,,,2605297.0
80,80,Arctophila fulva,hengegras,2,Arctophila fulva,,130589,99903,Arctophila fulva,(Trin.) Andersson,species,,,Plantae,Magnoliophyta,Monocots,Poales,Poaceae,Arctophila,,,,Plantae Magnoliophyta Monocots Poales Poaceae Arctophila,hengegras,hengjegras,,5290140.0
81,81,Arctostaphylos uva-ursi,melbær,14,Arctostaphylos uva-ursi,,144370,101771,Arctostaphylos uva-ursi,(L.) Spreng.,species,,,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Arctostaphylos,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Arctostaphylos,melbær,mjølbær,,2882580.0
82,82,Arctous alpina,rypebær,5,Arctous alpina,,144372,154588,Arctous alpina,(L.) Nied.,species,,,Plantae,Magnoliophyta,Eudicots,Ericales,Ericaceae,Arctous,,,,Plantae Magnoliophyta Eudicots Ericales Ericaceae Arctous,rypebær,rypebær,,2882527.0
83,83,Arenaria humifusa,dvergarve,2,Arenaria humifusa,,130613,101446,Arenaria humifusa,Wahlenb.,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Arenaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Arenaria,dvergarve,dvergarve,,5384481.0
84,84,Arenaria norvegica,skredarve,1,Arenaria norvegica,,130620,101448,Arenaria norvegica,Gunnerus,species,,,Plantae,Magnoliophyta,Eudicots,Caryophyllales,Caryophyllaceae,Arenaria,,,,Plantae Magnoliophyta Eudicots Caryophyllales Caryophyllaceae Arenaria,skredarve,skredarve,,5585088.0
